;V1;V2;V3;A1;A2;A3;U1;U2;U3
;V;V;V;A;A;A;V;V;V
1,208019;-6234,693072;11281,1153;-4922,12611;2,265597058;0,323656723;0,323656723;-17515,80837;16203,24141;1312,566963
1,208084;-6478,313455;11276,14345;-4663,590193;2,265597058;0,647313445;0,323656723;-17754,45691;15939,73364;1814,723263
1,208149;-6761,708595;11241,34054;-4390,138742;2,265597058;0,647313445;0,323656723;-18003,04913;15631,47928;2371,569853
1,208214;-6965,554222;11201,56578;-4106,743603;1,941940335;0,647313445;0,323656723;-18167,12;15308,30939;2858,810619
1,208279;-7209,174605;11161,79103;-3853,17953;2,265597058;0,970970168;0;-18370,96563;15014,97056;3355,995075
1,208344;-7413,020232;11117,04443;-3604,587303;2,265597058;0,970970168;0,323656723;-18530,06466;14721,63173;3808,432929
1,208409;-7577,091102;11042,46676;-3331,135852;1,941940335;0,970970168;0;-18619,55786;14373,60261;4245,95525
1,208474;-7820,711485;10957,9454;-3012,9378;2,265597058;0,970970168;0;-18778,65689;13970,8832;4807,773685
1,208539;-8024,557112;10878,39589;-2689,767904;1,941940335;0,970970168;0,323656723;-18902,953;13568,16379;5334,789208
1,208604;-8188,627982;10833,64929;-2456,09121;1,618283613;0,970970168;0;-19022,27727;13289,7405;5732,536772
1,208669;-8392,473609;10754,09977;-2222,414516;1,941940335;1,29462689;0;-19146,57338;12976,51429;6170,059093
1,208734;-8516,769723;10639,74735;-1978,794133;1,618283613;1,29462689;0,323656723;-19156,51707;12618,54148;6537,97559
1,208799;-8720,61535;10515,45123;-1670,539771;1,618283613;1,29462689;0;-19236,06658;12185,991;7050,075579
1,208864;-8879,714376;10430,92988;-1377,200942;1,618283613;1,29462689;0;-19310,64425;11808,13082;7502,513434
1,208929;-9043,785246;10346,40852;-1153,467937;1,618283613;1,29462689;0,323656723;-19390,19377;11499,87646;7890,317309
1,208994;-9168,08136;10232,05609;-914,8193982;1,29462689;1,29462689;0;-19400,13745;11146,87549;8253,261962
1,209059;-9287,405629;10072,95707;-641,3679476;1,29462689;1,29462689;0;-19360,3627;10714,32502;8646,037682
1,209124;-9491,251256;9908,886199;-328,1417406;1,29462689;1,29462689;0,323656723;-19400,13745;10237,02794;9163,109515
1,209189;-9615,54737;9814,421152;-59,66213466;1,29462689;1,29462689;0;-19429,96852;9874,083287;9555,885235
1,209254;-9779,61824;9700,068727;213,7893159;1,29462689;1,29462689;0;-19479,68697;9486,279411;9993,407556
1,209319;-9898,942509;9540,969701;467,3533882;1,29462689;1,29462689;0;-19439,91221;9073,616313;10366,2959
1,209384;-10023,23862;9376,898831;745,7766833;0,970970168;1,29462689;0;-19400,13745;8631,122148;10769,01531
1,209449;-10187,30949;9212,827961;999,3407556;0,970970168;1,618283613;0;-19400,13745;8213,487205;11186,65025
1,209514;-10266,85901;9123,334759;1242,961139;0,970970168;1,618283613;0;-19390,19377;7880,37362;11509,82015
1,209579;-10351,38036;8969,207578;1486,581522;0,647313445;1,29462689;0,323656723;-19320,58794;7482,626056;11837,96189
1,209644;-10430,92988;8805,136707;1824,666952;0,970970168;1,618283613;0;-19236,06658;6980,469756;12255,59683
1,209709;-10510,47939;8641,065837;2068,287335;0,647313445;1,618283613;0;-19151,54523;6572,778502;12578,76672
1,209774;-10634,7755;8476,994967;2331,795096;0,647313445;1,618283613;-0,323656723;-19111,77047;6145,19987;12966,5706
1,209839;-10674,55026;8317,895941;2585,359169;0,647313445;1,618283613;0;-18992,4462;5732,536772;13259,90943
1,209904;-10798,84637;8119,022159;2863,782464;0,647313445;1,618283613;0;-18917,86853;5255,239695;13662,62884
1,209969;-10878,39589;7915,176532;3147,177603;0,323656723;1,618283613;-0,323656723;-18793,57242;4767,998928;14025,57349
1,210034;-10962,91724;7706,359061;3400,741676;0,647313445;1,618283613;0;-18669,2763;4305,617385;14363,65892
1,210099;-11002,692;7502,513434;3649,333904;0,323656723;1,618283613;0;-18505,20543;3853,17953;14652,0259
1,210164;-11042,46676;7298,667807;3952,616421;0;1,618283613;-0,323656723;-18341,13456;3346,051386;14995,08318
1,210229;-11122,01627;7060,019268;4245,95525;0,323656723;1,618283613;-0,323656723;-18182,03554;2814,064018;15367,97152
1,210294;-11166,76287;6816,398885;4504,491167;0;1,618283613;-0,323656723;-17983,16176;2311,907718;15671,25404
1,210359;-11166,76287;6607,581414;4718,280483;-0,323656723;1,618283613;-0,323656723;-17774,34428;1889,300931;15885,04335
1,210424;-11206,53763;6363,961031;4981,788244;0;1,618283613;0;-17570,49866;1382,172786;16188,32587
1,210489;-11246,31238;6155,143559;5265,183384;-0,323656723;1,618283613;0;-17401,45594;889,9601754;16511,49577
1,210554;-11246,31238;5876,720264;5488,916389;-0,647313445;1,618283613;-0,323656723;-17123,03265;387,8038753;16735,22877
1,210619;-11246,31238;5667,902793;5727,564928;-0,323656723;1,618283613;-0,323656723;-16914,21518;-59,66213466;16973,87731
1,210684;-11246,31238;5424,28241;5971,185311;-0,647313445;1,618283613;0;-16670,59479;-546,9029011;17217,49769
1,210749;-11206,53763;5140,88727;6184,974627;-0,647313445;1,618283613;-0,323656723;-16347,4249;-1044,087357;17391,51225
1,210814;-11206,53763;4932,069799;6448,482388;-0,647313445;1,618283613;-0,323656723;-16138,60743;-1516,412589;17655,02002
1,210879;-11166,76287;4693,42126;6672,215393;-0,970970168;1,618283613;0;-15860,18413;-1978,794133;17838,97826
1,210944;-11122,01627;4405,054276;6905,892087;-0,970970168;1,618283613;-0,323656723;-15527,07055;-2500,837811;18027,90836
1,211009;-11082,24151;4121,659136;7149,51247;-0,970970168;1,618283613;0;-15203,90065;-3027,853334;18231,75398
1,211074;-11042,46676;3833,292152;7363,301786;-1,29462689;1,618283613;0;-14875,75891;-3530,009634;18405,76854
1,211139;-11002,692;3589,671769;7567,147413;-1,29462689;1,618283613;-0,323656723;-14592,36377;-3977,475644;18569,83941
1,211204;-10918,17064;3301,304785;7770,99304;-1,29462689;1,618283613;0;-14219,47543;-4469,688255;18689,16368
1,211269;-10838,62113;3017,909645;7974,838667;-1,29462689;1,618283613;0;-13856,53078;-4956,929022;18813,4598
1,211334;-10759,07162;2774,289262;8178,684293;-1,618283613;1,618283613;0;-13533,36088;-5404,395032;18937,75591
1,211399;-10674,55026;2485,922278;8352,698853;-1,29462689;1,618283613;0;-13160,47254;-5866,776575;19027,24911
1,211464;-10595,00075;2242,301894;8516,769723;-1,618283613;1,618283613;0;-12837,30264;-6274,467829;19111,77047
1,211529;-10510,47939;1953,93491;8680,840593;-1,618283613;1,29462689;0;-12464,4143;-6726,905683;19191,31998
1,211594;-10391,15512;1670,539771;8844,911464;-1,618283613;1,618283613;0,323656723;-12061,69489;-7174,371693;19236,06658
1,211659;-10306,63376;1421,947543;9004,010489;-1,618283613;1,618283613;0,323656723;-11728,58131;-7582,062947;19310,64425
1,211724;-10187,30949;1178,32716;9197,912427;-1,941940335;1,29462689;0,323656723;-11365,63665;-8019,585268;19385,22192
1,211789;-10063,01338;894,9320199;9307,293007;-1,618283613;1,618283613;0,323656723;-10957,9454;-8412,360987;19370,30639
1,211854;-9898,942509;646,3397922;9486,279411;-1,941940335;1,618283613;0,323656723;-10545,2823;-8839,939619;19385,22192
1,211919;-9779,61824;362,9446525;9620,519214;-1,941940335;1,618283613;0,323656723;-10142,56289;-9257,574562;19400,13745
1,211984;-9695,096883;74,57766833;9779,61824;-1,618283613;1,618283613;0,647313445;-9769,674551;-9705,040572;19474,71512
1,212049;-9575,772613;-243,6203832;9844,252219;-1,941940335;1,618283613;0,647313445;-9332,15223;-10087,8726;19420,02483
1,212114;-9371,926987;-457,4096991;10013,29493;-1,941940335;1,29462689;0,323656723;-8914,517288;-10470,70463;19385,22192
1,212179;-9247,630873;-775,6077506;10122,67551;-1,941940335;1,618283613;0,647313445;-8472,023122;-10898,28327;19370,30639
1,212244;-9128,306603;-989,3970665;10232,05609;-1,941940335;1,618283613;0,647313445;-8138,909537;-11221,45316;19360,3627
1,212309;-8964,235733;-1228,045605;10356,35221;-2,265597058;1,29462689;0,647313445;-7736,190128;-11584,39781;19320,58794
1,212374;-8800,164863;-1476,637833;10475,67648;-1,941940335;1,29462689;0,970970168;-7323,52703;-11952,31431;19275,84134
1,212439;-8636,093992;-1760,032973;10570,14152;-1,941940335;1,618283613;0,970970168;-6876,06102;-12330,1745;19206,23552
1,212504;-8472,023122;-2008,6252;10679,5221;-1,941940335;1,29462689;0,647313445;-6463,397922;-12688,1473;19151,54523
1,212569;-8312,924096;-2292,02034;10744,15608;-2,265597058;1,618283613;0,970970168;-6020,903756;-13036,17642;19057,08018
1,212634;-8109,07847;-2535,640723;10843,59297;-2,265597058;1,29462689;0,970970168;-5573,437746;-13379,2337;18952,67144
1,212699;-7905,232843;-2824,007707;10938,05802;-2,265597058;1,29462689;0,970970168;-5081,225135;-13762,06573;18843,29086
1,212764;-7701,387216;-3107,402847;11017,60753;-2,265597058;1,618283613;0,970970168;-4593,984369;-14125,01038;18718,99475
1,212829;-7497,541589;-3355,995075;11097,15705;-2,265597058;1,618283613;1,29462689;-4141,546514;-14453,15212;18594,69864
1,212894;-7293,695963;-3639,390214;11117,04443;-2,265597058;1,618283613;1,29462689;-3654,305748;-14756,43464;18410,74039
1,212959;-7050,075579;-3927,757199;11181,6784;-2,265597058;1,618283613;1,29462689;-3122,318381;-15109,4356;18231,75398
1,213024;-6846,229953;-4211,152338;11231,39685;-2,58925378;1,618283613;1,618283613;-2635,077614;-15442,54919;18077,6268
1,213089;-6682,159082;-4499,519322;11271,17161;-2,58925378;1,618283613;1,29462689;-2182,63976;-15770,69093;17953,33069
1,213154;-6354,017342;-4673,533882;11310,94636;-2,265597058;1,618283613;1,618283613;-1680,48346;-15984,48025;17664,9637
1,213219;-6150,171715;-4981,788244;11320,89005;-2,265597058;1,618283613;1,941940335;-1168,38347;-16302,6783;17471,06177
1,213284;-5906,551332;-5195,57756;11355,69296;-2,58925378;1,29462689;1,941940335;-710,9737714;-16551,27052;17262,2443
1,213349;-5662,930948;-5439,197943;11365,63665;-2,265597058;1,618283613;2,265597058;-223,733005;-16804,8346;17028,5676
1,213414;-5459,085322;-5648,015415;11395,46772;-2,265597058;1,618283613;1,941940335;188,9300931;-17043,48314;16854,55304
1,213479;-5170,718337;-5886,663953;11310,94636;-2,58925378;1,618283613;1,941940335;715,945616;-17197,61032;16481,6647
1,213544;-4927,097954;-6130,284337;11281,1153;-2,265597058;1,618283613;2,265597058;1203,186382;-17411,39963;16208,21325
1,213609;-4643,702815;-6339,101808;11281,1153;-2,58925378;1,618283613;2,265597058;1695,398993;-17620,2171;15924,81811
1,213674;-4400,082431;-6582,722191;11221,45316;-2,265597058;1,618283613;2,265597058;2182,63976;-17804,17535;15621,53559
1,213739;-4151,490204;-6791,539662;11201,56578;-2,265597058;1,618283613;2,58925378;2640,049459;-17993,10545;15353,05599
1,213804;-3868,095064;-7069,962958;11141,90365;-2,58925378;1,618283613;2,58925378;3201,867894;-18211,86661;15009,99871
1,213869;-3584,699924;-7278,780429;11087,21336;-2,265597058;1,29462689;2,58925378;3694,080505;-18365,99379;14671,91328
1,213934;-3296,33294;-7447,823144;11047,4386;-2,265597058;1,618283613;2,912910503;4151,490204;-18495,26175;14343,77154
1,213999;-3092,487313;-7681,499838;10977,83278;-2,265597058;1,618283613;2,912910503;4589,012524;-18659,33262;14070,32009
1,214064;-2809,092174;-7890,317309;10893,31142;-2,58925378;1,29462689;2,912910503;5081,225135;-18783,62873;13702,40359
1,214129;-2520,725189;-8094,162936;10813,76191;-2,265597058;1,618283613;3,236567225;5573,437746;-18907,92484;13334,4871
1,214194;-2277,104806;-8302,980407;10734,21239;-2,265597058;1,29462689;3,236567225;6025,875601;-19037,1928;13011,3172
1,214259;-1993,709667;-8432,248366;10649,69104;-2,265597058;1,29462689;3,236567225;6438,538699;-19081,9394;12643,4007
1,214324;-1750,089283;-8626,150303;10540,31046;-1,941940335;1,29462689;3,236567225;6876,06102;-19166,46076;12290,39974
1,214389;-1461,722299;-8795,193018;10445,84541;-2,265597058;1,29462689;3,236567225;7333,470719;-19241,03843;11907,56771
1,214454;-1218,101916;-8959,263889;10336,46483;-2,265597058;1,29462689;3,236567225;7741,161972;-19295,72872;11554,56675
1,214519;-934,7067764;-9048,75709;10212,16872;-1,941940335;1,29462689;3,560223948;8114,050314;-19260,92581;11146,87549
1,214584;-686,1145486;-9237,687184;10053,06969;-2,265597058;1,29462689;3,560223948;8551,572635;-19290,75687;10739,18424
1,214649;-442,4941654;-9406,729898;9958,604644;-2,265597058;0,970970168;3,236567225;8964,235733;-19365,33454;10401,09881
1,214714;-159,0990258;-9535,997857;9844,252219;-2,265597058;1,29462689;3,560223948;9376,898831;-19380,25008;10003,35125
1,214779;129,2679584;-9729,899795;9714,984261;-2,265597058;0,970970168;3,560223948;9859,167753;-19444,88406;9585,716302
1,214844;412,6630981;-9829,336686;9565,828924;-2,265597058;0,970970168;3,560223948;10241,99978;-19395,16561;9153,165826
1,214909;656,2834813;-9978,492022;9436,560966;-2,265597058;0,970970168;3,88388067;10634,7755;-19415,05299;8780,277485
1,214974;944,6504655;-10072,95707;9282,433785;-2,265597058;0,647313445;3,560223948;11017,60753;-19355,39085;8337,783319
1,215039;1188,270849;-10187,30949;9153,165826;-2,265597058;0,970970168;3,88388067;11375,58034;-19340,47532;7964,894977
1,215104;1431,891232;-10311,60561;9028,869712;-2,265597058;0,970970168;3,88388067;11743,49684;-19340,47532;7596,97848
1,215169;1675,511615;-10435,90172;8874,742531;-1,941940335;0,647313445;3,560223948;12111,41334;-19310,64425;7199,230916
1,215234;1963,878599;-10485,62017;8680,840593;-1,941940335;0,647313445;3,88388067;12449,49877;-19166,46076;6716,961994
1,215299;2247,273739;-10599,97259;8476,994967;-1,941940335;0,647313445;3,88388067;12847,24633;-19076,96756;6229,721228
1,215364;2490,894122;-10684,49395;8337,783319;-2,265597058;0,647313445;3,88388067;13175,38807;-19022,27727;5846,889197
1,215429;2734,514505;-10764,04346;8148,853226;-1,941940335;0,647313445;3,88388067;13498,55797;-18912,89669;5414,338721
1,215494;3022,88149;-10848,56482;7945,007599;-2,265597058;0,647313445;3,88388067;13871,44631;-18793,57242;4922,12611
1,215559;3266,501873;-10967,88909;7741,161972;-2,58925378;0,647313445;4,207537393;14234,39096;-18709,05106;4474,6601
1,215624;3549,897012;-11017,60753;7537,316346;-2,265597058;0,647313445;4,207537393;14567,50455;-18554,92388;3987,419333
1,215689;3838,263997;-11092,1852;7333,470719;-2,265597058;0,323656723;4,207537393;14930,4492;-18425,65592;3495,206722
1,215754;4081,88438;-11136,9318;7099,794025;-2,265597058;0,323656723;4,207537393;15218,81618;-18236,72583;3017,909645
1,215819;4365,279519;-11181,6784;6856,173642;-2,265597058;0,323656723;4,207537393;15546,95792;-18037,85205;2490,894122
1,215884;4613,871747;-11186,65025;6642,384326;-2,265597058;0,323656723;4,207537393;15800,522;-17829,03458;2028,512579
1,215949;4897,266887;-11221,45316;6408,707632;-2,265597058;0;4,207537393;16118,72005;-17630,16079;1511,440745
1,216014;5140,88727;-11261,22792;6165,087248;-1,941940335;0;4,207537393;16402,11519;-17426,31517;1024,199978
1,216079;5384,507653;-11301,00267;5916,495021;-1,941940335;0;4,531194115;16685,51033;-17217,49769;531,9873674
1,216144;5633,099881;-11305,97452;5702,705705;-2,265597058;-0,323656723;4,207537393;16939,0744;-17008,68022;69,60582377
1,216209;5836,945508;-11271,17161;5439,197943;-1,941940335;0;4,531194115;17108,11711;-16710,36955;-397,7475644
1,216274;6040,791135;-11231,39685;5215,464938;-1,941940335;0;4,531194115;17272,18798;-16446,86179;-825,3261962
1,216339;6324,186274;-11226,42501;4951,957177;-1,941940335;-0,323656723;4,207537393;17550,61128;-16178,38218;-1372,229097
1,216404;6567,806657;-11226,42501;4698,393105;-1,941940335;-0,323656723;4,531194115;17794,23166;-15924,81811;-1869,413553
1,216469;6771,652284;-11191,62209;4419,96981;-1,941940335;-0,323656723;4,531194115;17963,27438;-15611,5919;-2351,682475
1,216534;6975,497911;-11146,87549;4136,57467;-1,941940335;-0,647313445;4,531194115;18122,3734;-15283,45016;-2838,923241
1,216599;7219,118294;-11107,10074;3853,17953;-1,618283613;-0,647313445;4,531194115;18326,21903;-14960,28027;-3365,938764
1,216664;7467,710522;-11067,32598;3564,812546;-1,618283613;-0,647313445;4,531194115;18535,0365;-14632,13853;-3902,897976
1,216729;7671,556149;-11027,55122;3311,248474;-1,941940335;-0,647313445;4,531194115;18699,10737;-14338,7997;-4360,307675
1,216794;7830,655174;-10948,00171;3037,797023;-1,618283613;-0,647313445;4,531194115;18778,65689;-13985,79873;-4792,858151
1,216859;8034,500801;-10833,64929;2749,430039;-1,618283613;-0,647313445;4,531194115;18868,15009;-13583,07932;-5285,070762
1,216924;8238,346428;-10783,93084;2495,865967;-1,618283613;-0,970970168;4,531194115;19022,27727;-13279,79681;-5742,480461
1,216989;8442,192055;-10704,38133;2252,245584;-1,29462689;-0,647313445;4,531194115;19146,57338;-12956,62691;-6189,946471
1,217054;8566,488169;-10624,83181;1978,794133;-1,29462689;-0,970970168;4,531194115;19191,31998;-12603,62595;-6587,694036
1,217119;8730,559039;-10470,70463;1690,427149;-1,29462689;-0,970970168;4,531194115;19201,26367;-12161,13178;-7040,13189
1,217184;8894,629909;-10376,23959;1407,032009;-0,970970168;-0,970970168;4,531194115;19270,8695;-11783,2716;-7487,5979
1,217249;9098,475536;-10296,69007;1153,467937;-1,29462689;-0,970970168;4,531194115;19395,16561;-11450,15801;-7945,007599
1,217314;9217,799805;-10177,3658;904,875709;-1,29462689;-0,970970168;4,531194115;19395,16561;-11082,24151;-8312,924096
1,217379;9342,095919;-10058,04154;631,4242585;-0,970970168;-0,970970168;4,531194115;19400,13745;-10689,46579;-8710,671661
1,217444;9506,16679;-9933,745421;348,0291189;-0,970970168;-0,970970168;4,531194115;19439,91221;-10281,77454;-9158,137671
