Time;V1;V2;V3;A1;A2;A3;U1;U2;U3
;V;V;V;A;A;A;V;V;V
0.00000000;84.52135744;-9655.322126;9809.449307;-2.58925378;0.970970168;3.236567225;9739.843484;-19464.77143;9724.92795
0.00006500;372.8883416;-9779.61824;9645.378437;-2.265597058;0.970970168;3.560223948;10152.50658;-19424.99668;9272.490095
0.00013000;616.5087248;-9938.717266;9521.082323;-2.265597058;0.970970168;3.560223948;10555.22599;-19459.79959;8904.573598
0.00019500;860.1291081;-10067.98522;9396.786209;-2.265597058;0.647313445;3.236567225;10928.11433;-19464.77143;8536.657101
0.00026000;1103.749491;-10187.30949;9237.687184;-1.941940335;0.970970168;3.560223948;11291.05898;-19424.99668;8133.937692
0.00032500;1392.116475;-10276.8027;9078.588158;-2.265597058;0.970970168;3.560223948;11668.91917;-19355.39085;7686.471682
0.00039000;1675.511615;-10396.12696;8914.517288;-2.58925378;0.970970168;3.560223948;12071.63858;-19310.64425;7239.005672
0.00045500;1919.131998;-10480.64832;8785.249329;-2.265597058;0.970970168;3.560223948;12399.78032;-19265.89765;6866.117331
0.00052000;2167.724226;-10560.19784;8626.150303;-2.265597058;0.647313445;3.88388067;12727.92206;-19186.34814;6458.426077
0.00058500;2411.344609;-10679.5221;8437.22021;-2.265597058;0.647313445;3.88388067;13090.86671;-19116.74231;6025.875601
0.00065000;2694.739749;-10803.81822;8263.205651;-2.265597058;0.647313445;3.88388067;13498.55797;-19067.02387;5568.465902
0.00071500;3022.88149;-10888.33958;8039.472646;-2.265597058;0.647313445;3.88388067;13911.22107;-18927.81222;5016.591156
0.00078000;3266.501873;-10933.08618;7855.514397;-2.265597058;0.647313445;3.88388067;14199.58805;-18788.60057;4589.012524
0.00084500;3510.122256;-10977.83278;7631.781392;-1.941940335;0.647313445;4.207537393;14487.95503;-18609.61417;4121.659136
0.00091000;3798.48924;-11052.41045;7417.992076;-2.265597058;0.647313445;4.207537393;14850.89969;-18470.40252;3619.502836
0.00097500;4081.88438;-11131.95996;7214.14645;-2.265597058;0.323656723;4.207537393;15213.84434;-18346.10641;3132.26207
0.00104000;4365.279519;-11216.48132;6980.469756;-2.265597058;0.647313445;4.531194115;15581.76084;-18196.95107;2615.190236
0.00110500;4613.871747;-11226.42501;6731.877528;-1.941940335;0.647313445;4.531194115;15840.29675;-17958.30253;2118.005781
0.00117000;4857.49213;-11226.42501;6488.257145;-1.941940335;0.323656723;4.531194115;16083.91714;-17714.68215;1630.765014
0.00123500;5101.112514;-11296.03083;6274.467829;-1.618283613;0.647313445;4.531194115;16397.14334;-17570.49866;1173.355315
0.00130000;5384.507653;-11305.97452;6040.791135;-1.941940335;0.323656723;4.531194115;16690.48217;-17346.76565;656.2834813
0.00136500;5588.35328;-11305.97452;5797.170751;-1.941940335;0.323656723;4.531194115;16894.3278;-17103.14527;208.8174713
0.00143000;5836.945508;-11345.74928;5553.550368;-1.618283613;0.323656723;4.854850838;17182.69478;-16899.29964;-283.3951396
0.00149500;6040.791135;-11276.14345;5309.929985;-1.618283613;0.323656723;4.854850838;17316.93459;-16586.07344;-730.8611496
0.00156000;6284.411518;-11266.19976;5031.50669;-1.618283613;0.323656723;4.854850838;17550.61128;-16297.70645;-1252.904828
0.00162500;6528.031901;-11266.19976;4807.773685;-1.29462689;0.323656723;4.854850838;17794.23166;-16073.97345;-1720.258216
0.00169000;6771.652284;-11231.39685;4544.265923;-1.618283613;0.323656723;4.854850838;18003.04913;-15775.66277;-2227.386361
0.00175500;6975.497911;-11191.62209;4255.898939;-1.618283613;0;4.854850838;18167.12;-15447.52103;-2719.598972
0.00182000;7219.118294;-11146.87549;3942.672732;-1.29462689;0.323656723;5.178507561;18365.99379;-15089.54823;-3276.445562
0.00188500;7467.710522;-11107.10074;3679.164971;-1.29462689;0;5.178507561;18574.81126;-14786.26571;-3788.545551
0.00195000;7626.809548;-11067.32598;3435.544588;-1.29462689;0;5.178507561;18694.13553;-14502.87057;-4191.26496
0.00201500;7830.655174;-10992.74831;3157.121293;-1.29462689;0;5.178507561;18823.40349;-14149.8696;-4673.533882
0.00208000;8034.500801;-10908.22695;2873.726153;-1.29462689;0;5.178507561;18942.72776;-13781.95311;-5160.774648
0.00214500;8238.346428;-10828.67744;2585.359169;-1.29462689;-0.323656723;4.854850838;19067.02387;-13414.03661;-5652.987259
0.00221000;8442.192055;-10744.15608;2331.795096;-0.970970168;0;5.178507561;19186.34814;-13075.95118;-6110.396958
0.00227500;8606.262925;-10664.60657;2058.343646;-0.970970168;-0.323656723;5.178507561;19270.8695;-12722.95022;-6547.919279
0.00234000;8770.333795;-10510.47939;1774.948506;-0.970970168;-0.323656723;4.854850838;19280.81319;-12285.4279;-6995.385289
0.00240500;8894.629909;-10455.7891;1486.581522;-0.647313445;0;5.178507561;19350.41901;-11942.37062;-7408.048387
0.00247000;9053.728935;-10341.43667;1262.848517;-0.970970168;-0.323656723;5.178507561;19395.16561;-11604.28519;-7790.880418
0.00253500;9217.799805;-10256.91532;969.5096883;-0.647313445;-0.323656723;4.854850838;19474.71512;-11226.42501;-8248.290117
0.00260000;9381.870676;-10067.98522;765.6640615;-0.647313445;-0.323656723;5.178507561;19449.8559;-10833.64929;-8616.206614
0.00266500;9545.941546;-9968.548333;412.6630981;-0.647313445;-0.323656723;5.178507561;19514.48988;-10381.21143;-9133.278448
0.00273000;9625.491059;-9854.195908;164.0708703;-0.647313445;-0.647313445;4.854850838;19479.68697;-10018.26678;-9461.420189
0.00279500;9789.561929;-9764.702706;-134.239803;-0.647313445;-0.323656723;5.178507561;19554.26464;-9630.462903;-9923.801732
0.00286000;9913.858043;-9610.575525;-367.9164971;-0.647313445;-0.647313445;5.178507561;19524.43357;-9242.659028;-10281.77454
0.00292500;10033.18231;-9451.476499;-631.4242585;-0.647313445;-0.647313445;5.178507561;19484.65881;-8820.052241;-10664.60657
0.00299000;10157.47843;-9287.405629;-884.9883308;-0.323656723;-0.323656723;4.854850838;19444.88406;-8402.417298;-11042.46676
0.00305500;10321.5493;-9158.137671;-1193.242693;-0.323656723;-0.647313445;5.178507561;19479.68697;-7964.894977;-11514.79199
0.00312000;10401.09881;-8999.038645;-1426.919387;-0.323656723;-0.647313445;5.178507561;19400.13745;-7572.119258;-11828.0182
0.00318500;10480.64832;-8834.967775;-1690.427149;-0.323656723;-0.647313445;5.178507561;19315.6161;-7144.540626;-12171.07547
0.00325000;10565.16968;-8670.896904;-1978.794133;-0.323656723;-0.647313445;4.854850838;19236.06658;-6692.102771;-12543.96381
0.00331500;10684.49395;-8511.797879;-2232.358205;-0.323656723;-0.647313445;4.854850838;19196.29183;-6279.439673;-12916.85215
0.00338000;10769.01531;-8347.727008;-2505.809656;0;-0.647313445;5.178507561;19116.74231;-5841.917352;-13274.82496
0.00344500;10848.56482;-8148.853226;-2759.373728;-0.323656723;-0.970970168;4.854850838;18997.41805;-5389.479498;-13607.93855
0.00351000;10933.08618;-7945.007599;-3067.628091;0;-0.970970168;5.178507561;18878.09378;-4877.379509;-14000.71427
0.00357500;11012.63569;-7741.161972;-3331.135852;0;-0.970970168;5.178507561;18753.79766;-4410.02612;-14343.77154
0.00364000;11092.1852;-7537.316346;-3604.587303;0;-0.970970168;5.178507561;18629.50155;-3932.729043;-14696.77251
0.00370500;11136.9318;-7368.273631;-3892.954287;0.323656723;-0.970970168;5.178507561;18505.20543;-3475.319344;-15029.88609
0.00377000;11136.9318;-7089.850336;-4116.687292;0.323656723;-0.970970168;5.178507561;18226.78214;-2973.163044;-15253.6191
0.00383500;11296.03083;-6846.229953;-4410.02612;0.323656723;-1.29462689;5.178507561;18142.26078;-2436.203832;-15706.05695
0.00390000;11256.25607;-6672.215393;-4673.533882;0.647313445;-1.29462689;4.854850838;17928.47147;-1998.681511;-15929.78995
0.00396500;11340.77743;-6398.763943;-4922.12611;0.323656723;-1.29462689;5.178507561;17739.54137;-1476.637833;-16262.90354
0.00403000;11296.03083;-6184.974627;-5195.57756;0.323656723;-1.29462689;4.854850838;17481.00546;-989.3970665;-16491.60839
0.00409500;11296.03083;-5946.326088;-5419.310565;0.647313445;-1.29462689;4.854850838;17242.35692;-527.0155229;-16715.34139
0.00416000;11340.77743;-5702.705705;-5682.818327;0.647313445;-1.29462689;4.854850838;17043.48314;-19.88737822;-17023.59576
0.00422500;11340.77743;-5459.085322;-5906.551332;0.647313445;-1.618283613;4.531194115;16799.86275;447.46601;-17247.32876
0.00429000;11340.77743;-5210.493094;-6145.19987;0.647313445;-1.29462689;4.854850838;16551.27052;934.7067764;-17485.9773
0.00435500;11256.25607;-4966.872711;-6388.820253;0.970970168;-1.29462689;4.854850838;16223.12878;1421.947543;-17645.07633
0.00442000;11256.25607;-4723.252327;-6632.440637;0.647313445;-1.618283613;4.531194115;15979.5084;1909.188309;-17888.69671
0.00448500;11256.25607;-4434.885343;-6876.06102;0.970970168;-1.618283613;4.531194115;15691.14142;2441.175677;-18132.31709
0.00455000;11216.48132;-4191.26496;-7089.850336;0.970970168;-1.618283613;4.531194115;15407.74628;2898.585376;-18306.33165
0.00461500;11136.9318;-3902.897976;-7293.695963;0.970970168;-1.618283613;4.531194115;15039.82978;3390.797987;-18430.62777
0.00468000;11052.41045;-3619.502836;-7527.372657;0.970970168;-1.618283613;4.531194115;14671.91328;3907.86982;-18579.7831
0.00474500;10972.86093;-3331.135852;-7741.161972;0.970970168;-1.618283613;4.531194115;14303.99679;4410.02612;-18714.02291
