Time;V1;V2;V3;A1;A2;A3;U1;U2;U3
;V;V;V;A;A;A;V;V;V
0.002871;9829.336686;-9610.575525;-427.5786317;-0.647313445;-0.970970168;4.854850838;19439.91221;-9182.996893;-10256.91532
0.002936;9993.407556;-9451.476499;-710.9737714;-0.647313445;-1.29462689;4.854850838;19444.88406;-8740.502728;-10704.38133
0.003001;10072.95707;-9287.405629;-969.5096883;-0.647313445;-0.970970168;4.854850838;19360.3627;-8317.895941;-11042.46676
0.003067;10197.25318;-9158.137671;-1213.130071;-0.647313445;-0.970970168;4.854850838;19355.39085;-7945.007599;-11410.38325
0.003132;10321.5493;-9033.841557;-1486.581522;-0.647313445;-1.29462689;4.854850838;19355.39085;-7547.260035;-11808.13082
0.003197;10401.09881;-8879.714376;-1740.145594;-0.323656723;-0.970970168;4.854850838;19280.81319;-7139.568781;-12141.2444
0.003262;10480.64832;-8715.643505;-2018.568889;-0.323656723;-1.29462689;4.854850838;19196.29183;-6697.074616;-12499.21721
0.003328;10565.16968;-8516.769723;-2272.132962;-0.323656723;-1.29462689;4.854850838;19081.9394;-6244.636761;-12837.30264
0.003393;10684.49395;-8347.727008;-2545.584412;0;-0.970970168;4.854850838;19032.22096;-5802.142596;-13230.07836
0.003458;10769.01531;-8183.656138;-2833.951396;0;-1.29462689;4.854850838;18952.67144;-5349.704741;-13602.9667
0.003523;10848.56482;-7984.782356;-3117.346536;0;-1.29462689;4.854850838;18833.34718;-4867.43582;-13965.91136
0.003589;10888.33958;-7780.936729;-3400.741676;0;-1.29462689;5.178507561;18669.2763;-4380.195053;-14289.08125
0.003654;10972.86093;-7577.091102;-3659.277593;0;-1.29462689;5.178507561;18549.95204;-3917.81351;-14632.13853
0.003719;11052.41045;-7373.245475;-3932.729043;0;-1.618283613;4.854850838;18425.65592;-3440.516432;-14985.13949
0.003784;11052.41045;-7169.399849;-4216.124183;0.323656723;-1.29462689;5.178507561;18221.81029;-2953.275666;-15268.53463
0.003849;11136.9318;-6886.004709;-4474.6601;0.323656723;-1.618283613;5.178507561;18022.93651;-2411.344609;-15611.5919
0.003915;11136.9318;-6711.99015;-4748.11155;0.323656723;-1.618283613;4.854850838;17848.92195;-1963.878599;-15885.04335
0.003980;11216.48132;-6478.313455;-5001.675623;0.323656723;-1.618283613;4.854850838;17694.79477;-1476.637833;-16218.15694
0.004045;11176.70656;-6234.693072;-5215.464938;0.323656723;-1.618283613;4.854850838;17411.39963;-1019.228134;-16392.1715
0.004110;11176.70656;-6025.875601;-5449.141633;0.647313445;-1.618283613;4.531194115;17202.58216;-576.7339684;-16625.84819
0.004176;11216.48132;-5782.255218;-5692.762016;0.647313445;-1.618283613;4.854850838;16998.73653;-89.49320199;-16909.24333
0.004241;11216.48132;-5538.634835;-5971.185311;0.647313445;-1.618283613;4.854850838;16755.11615;432.5504763;-17187.66663
0.004306;11216.48132;-5255.239695;-6194.918316;0.647313445;-1.941940335;4.854850838;16471.72101;939.6786209;-17411.39963
0.004371;11176.70656;-5006.647467;-6428.59501;0.970970168;-1.618283613;4.854850838;16183.35403;1421.947543;-17605.30157
0.004437;11136.9318;-4763.027084;-6672.215393;0.970970168;-1.618283613;4.531194115;15899.95889;1909.188309;-17809.1472
