Time;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0,0000000000;4,971844555;-9660,293971;9729,899795;-2,912910503;0,647313445;3,236567225;9665,265815;-19390,19377;9724,92795
0,0000650000;288,3669842;-9814,421152;9565,828924;-2,58925378;0,970970168;3,236567225;10102,78814;-19380,25008;9277,46194
0,0001300000;536,959212;-9978,492022;9401,758054;-2,58925378;0,647313445;3,236567225;10515,45123;-19380,25008;8864,798842
0,0001960000;780,5795952;-10107,75998;9277,46194;-2,912910503;0,647313445;3,236567225;10888,33958;-19385,22192;8496,882345
0,0002610000;1063,974735;-10232,05609;9118,362914;-2,58925378;0,647313445;3,236567225;11296,03083;-19350,41901;8054,388179
0,0003260000;1352,341719;-10316,57745;8989,094956;-2,58925378;0,647313445;3,560223948;11668,91917;-19305,67241;7636,753237
0,0003910000;1595,962102;-10435,90172;8829,99593;-2,58925378;0,323656723;3,236567225;12031,86382;-19265,89765;7234,033828
0,0004570000;1839,582485;-10520,42308;8670,896904;-2,58925378;0,647313445;3,560223948;12360,00556;-19191,31998;6831,314419
0,0005220000;2083,202869;-10639,74735;8476,994967;-2,58925378;0,323656723;3,560223948;12722,95022;-19116,74231;6393,792098
0,0005870000;2371,569853;-10759,07162;8302,980407;-2,912910503;0,323656723;3,236567225;13130,64147;-19062,05202;5931,410554
0,0006520000;2654,964992;-10848,56482;8109,07847;-2,58925378;0,323656723;3,560223948;13503,52981;-18957,64329;5454,113477
0,0007180000;2898,585376;-10893,31142;7935,06391;-2,58925378;0,323656723;3,560223948;13791,8968;-18828,37533;5036,478534
0,0007830000;3186,95236;-10933,08618;7741,161972;-2,912910503;0;3,560223948;14120,03854;-18674,24815;4554,209613
0,0008480000;3470,3475;-11047,4386;7537,316346;-2,58925378;0,323656723;3,88388067;14517,7861;-18584,75495;4066,968846
0,0009130000;3753,742639;-11131,95996;7303,639652;-2,58925378;0,323656723;3,88388067;14885,7026;-18435,59961;3549,897012
0,0009790000;4002,334867;-11141,90365;7089,850336;-2,58925378;0;3,88388067;15144,23852;-18231,75398;3087,515469
0,0010440000;4245,95525;-11251,28423;6826,342574;-2,58925378;0;3,88388067;15497,23948;-18077,6268;2580,387324
0,0011090000;4489,575633;-11266,19976;6602,609569;-2,58925378;0;3,88388067;15755,7754;-17868,80933;2113,033936
0,0011740000;4817,717374;-11301,00267;6368,932875;-2,58925378;-0,323656723;3,88388067;16118,72005;-17669,93555;1551,215501
0,0012400000;5021,563001;-11305,97452;6184,974627;-2,265597058;0;3,88388067;16327,53752;-17490,94915;1163,411626
0,0013050000;5265,183384;-11305,97452;5961,241622;-2,265597058;-0,323656723;4,207537393;16571,1579;-17267,21614;696,0582377
0,0013700000;5508,803767;-11305,97452;5712,649394;-2,265597058;-0,323656723;3,88388067;16814,77829;-17018,62391;203,8456268
0,0014350000;5752,42415;-11305,97452;5469,029011;-2,265597058;-0,323656723;4,207537393;17058,39867;-16775,00353;-283,3951396
0,0015010000;5956,269777;-11305,97452;5225,408628;-2,265597058;-0,323656723;4,207537393;17262,2443;-16531,38315;-730,8611496
0,0015660000;6160,115404;-11271,17161;5011,619312;-2,265597058;-0,647313445;4,207537393;17431,28701;-16282,79092;-1148,496092
0,0016310000;6403,735787;-11266,19976;4718,280483;-1,941940335;-0,323656723;4,207537393;17669,93555;-15984,48025;-1685,455304
0,0016960000;6692,102771;-11266,19976;4449,800877;-1,941940335;-0,647313445;4,207537393;17958,30253;-15716,00064;-2242,301894
0,0017620000;6895,948398;-11196,59394;4206,180494;-2,265597058;-0,647313445;4,207537393;18092,54234;-15402,77443;-2689,767904
0,0018270000;7099,794025;-11186,65025;3902,897976;-1,941940335;-0,647313445;4,207537393;18286,44427;-15089,54823;-3196,896049
0,0018920000;7303,639652;-11112,07258;3634,41837;-1,941940335;-0,647313445;4,531194115;18415,71223;-14746,49095;-3669,221282
0,0019570000;7547,260035;-11102,12889;3301,304785;-1,941940335;-0,970970168;4,531194115;18649,38893;-14403,43368;-4245,95525
0,0020230000;7671,556149;-11032,52307;3057,684401;-1,618283613;-0,647313445;4,531194115;18704,07922;-14090,20747;-4613,871747
