Tempo;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0.359190;-5782.255218;11360.66481;-5409.366876;2.265597058;0.323656723;0.323656723;-17142.92003;16770.03168;372.8883416
0.359255;-5986.100844;11320.89005;-5185.633871;2.265597058;0.647313445;0.323656723;-17306.9909;16506.52392;800.4669734
0.359320;-6234.693072;11281.1153;-4922.12611;2.265597058;0.323656723;0.323656723;-17515.80837;16203.24141;1312.566963
0.359385;-6478.313455;11276.14345;-4663.590193;2.265597058;0.647313445;0.323656723;-17754.45691;15939.73364;1814.723263
0.359450;-6761.708595;11241.34054;-4390.138742;2.265597058;0.647313445;0.323656723;-18003.04913;15631.47928;2371.569853
0.359515;-6965.554222;11201.56578;-4106.743603;1.941940335;0.647313445;0.323656723;-18167.12;15308.30939;2858.810619
0.359580;-7209.174605;11161.79103;-3853.17953;2.265597058;0.970970168;0;-18370.96563;15014.97056;3355.995075
0.359645;-7413.020232;11117.04443;-3604.587303;2.265597058;0.970970168;0.323656723;-18530.06466;14721.63173;3808.432929
0.359710;-7577.091102;11042.46676;-3331.135852;1.941940335;0.970970168;0;-18619.55786;14373.60261;4245.95525
0.359775;-7820.711485;10957.9454;-3012.9378;2.265597058;0.970970168;0;-18778.65689;13970.8832;4807.773685
0.359840;-8024.557112;10878.39589;-2689.767904;1.941940335;0.970970168;0.323656723;-18902.953;13568.16379;5334.789208
0.359905;-8188.627982;10833.64929;-2456.09121;1.618283613;0.970970168;0;-19022.27727;13289.7405;5732.536772
0.359970;-8392.473609;10754.09977;-2222.414516;1.941940335;1.29462689;0;-19146.57338;12976.51429;6170.059093
0.360035;-8516.769723;10639.74735;-1978.794133;1.618283613;1.29462689;0.323656723;-19156.51707;12618.54148;6537.97559
0.360100;-8720.61535;10515.45123;-1670.539771;1.618283613;1.29462689;0;-19236.06658;12185.991;7050.075579
0.360165;-8879.714376;10430.92988;-1377.200942;1.618283613;1.29462689;0;-19310.64425;11808.13082;7502.513434
0.360230;-9043.785246;10346.40852;-1153.467937;1.618283613;1.29462689;0.323656723;-19390.19377;11499.87646;7890.317309
0.360295;-9168.08136;10232.05609;-914.8193982;1.29462689;1.29462689;0;-19400.13745;11146.87549;8253.261962
0.360360;-9287.405629;10072.95707;-641.3679476;1.29462689;1.29462689;0;-19360.3627;10714.32502;8646.037682
0.360425;-9491.251256;9908.886199;-328.1417406;1.29462689;1.29462689;0.323656723;-19400.13745;10237.02794;9163.109515
0.360490;-9615.54737;9814.421152;-59.66213466;1.29462689;1.29462689;0;-19429.96852;9874.083287;9555.885235
0.360555;-9779.61824;9700.068727;213.7893159;1.29462689;1.29462689;0;-19479.68697;9486.279411;9993.407556
0.360620;-9898.942509;9540.969701;467.3533882;1.29462689;1.29462689;0;-19439.91221;9073.616313;10366.2959
0.360685;-10023.23862;9376.898831;745.7766833;0.970970168;1.29462689;0;-19400.13745;8631.122148;10769.01531
0.360750;-10187.30949;9212.827961;999.3407556;0.970970168;1.618283613;0;-19400.13745;8213.487205;11186.65025
0.360815;-10266.85901;9123.334759;1242.961139;0.970970168;1.618283613;0;-19390.19377;7880.37362;11509.82015
0.360880;-10351.38036;8969.207578;1486.581522;0.647313445;1.29462689;0.323656723;-19320.58794;7482.626056;11837.96189
0.360945;-10430.92988;8805.136707;1824.666952;0.970970168;1.618283613;0;-19236.06658;6980.469756;12255.59683
0.361010;-10510.47939;8641.065837;2068.287335;0.647313445;1.618283613;0;-19151.54523;6572.778502;12578.76672
0.361075;-10634.7755;8476.994967;2331.795096;0.647313445;1.618283613;-0.323656723;-19111.77047;6145.19987;12966.5706
0.361140;-10674.55026;8317.895941;2585.359169;0.647313445;1.618283613;0;-18992.4462;5732.536772;13259.90943
0.361205;-10798.84637;8119.022159;2863.782464;0.647313445;1.618283613;0;-18917.86853;5255.239695;13662.62884
0.361270;-10878.39589;7915.176532;3147.177603;0.323656723;1.618283613;-0.323656723;-18793.57242;4767.998928;14025.57349
0.361335;-10962.91724;7706.359061;3400.741676;0.647313445;1.618283613;0;-18669.2763;4305.617385;14363.65892
0.361400;-11002.692;7502.513434;3649.333904;0.323656723;1.618283613;0;-18505.20543;3853.17953;14652.0259
0.361465;-11042.46676;7298.667807;3952.616421;0;1.618283613;-0.323656723;-18341.13456;3346.051386;14995.08318
0.361530;-11122.01627;7060.019268;4245.95525;0.323656723;1.618283613;-0.323656723;-18182.03554;2814.064018;15367.97152
0.361595;-11166.76287;6816.398885;4504.491167;0;1.618283613;-0.323656723;-17983.16176;2311.907718;15671.25404
0.361660;-11166.76287;6607.581414;4718.280483;-0.323656723;1.618283613;-0.323656723;-17774.34428;1889.300931;15885.04335
0.361725;-11206.53763;6363.961031;4981.788244;0;1.618283613;0;-17570.49866;1382.172786;16188.32587
0.361790;-11246.31238;6155.143559;5265.183384;-0.323656723;1.618283613;0;-17401.45594;889.9601754;16511.49577
0.361855;-11246.31238;5876.720264;5488.916389;-0.647313445;1.618283613;-0.323656723;-17123.03265;387.8038753;16735.22877
0.361920;-11246.31238;5667.902793;5727.564928;-0.323656723;1.618283613;-0.323656723;-16914.21518;-59.66213466;16973.87731
0.361985;-11246.31238;5424.28241;5971.185311;-0.647313445;1.618283613;0;-16670.59479;-546.9029011;17217.49769
0.362050;-11206.53763;5140.88727;6184.974627;-0.647313445;1.618283613;-0.323656723;-16347.4249;-1044.087357;17391.51225
0.362115;-11206.53763;4932.069799;6448.482388;-0.647313445;1.618283613;-0.323656723;-16138.60743;-1516.412589;17655.02002
0.362180;-11166.76287;4693.42126;6672.215393;-0.970970168;1.618283613;0;-15860.18413;-1978.794133;17838.97826
0.362245;-11122.01627;4405.054276;6905.892087;-0.970970168;1.618283613;-0.323656723;-15527.07055;-2500.837811;18027.90836
0.362310;-11082.24151;4121.659136;7149.51247;-0.970970168;1.618283613;0;-15203.90065;-3027.853334;18231.75398
0.362375;-11042.46676;3833.292152;7363.301786;-1.29462689;1.618283613;0;-14875.75891;-3530.009634;18405.76854
0.362440;-11002.692;3589.671769;7567.147413;-1.29462689;1.618283613;-0.323656723;-14592.36377;-3977.475644;18569.83941
0.362505;-10918.17064;3301.304785;7770.99304;-1.29462689;1.618283613;0;-14219.47543;-4469.688255;18689.16368
0.362570;-10838.62113;3017.909645;7974.838667;-1.29462689;1.618283613;0;-13856.53078;-4956.929022;18813.4598
0.362635;-10759.07162;2774.289262;8178.684293;-1.618283613;1.618283613;0;-13533.36088;-5404.395032;18937.75591
0.362700;-10674.55026;2485.922278;8352.698853;-1.29462689;1.618283613;0;-13160.47254;-5866.776575;19027.24911
0.362765;-10595.00075;2242.301894;8516.769723;-1.618283613;1.618283613;0;-12837.30264;-6274.467829;19111.77047
0.362830;-10510.47939;1953.93491;8680.840593;-1.618283613;1.29462689;0;-12464.4143;-6726.905683;19191.31998
0.362895;-10391.15512;1670.539771;8844.911464;-1.618283613;1.618283613;0.323656723;-12061.69489;-7174.371693;19236.06658
0.362960;-10306.63376;1421.947543;9004.010489;-1.618283613;1.618283613;0.323656723;-11728.58131;-7582.062947;19310.64425
0.363025;-10187.30949;1178.32716;9197.912427;-1.941940335;1.29462689;0.323656723;-11365.63665;-8019.585268;19385.22192
0.363090;-10063.01338;894.9320199;9307.293007;-1.618283613;1.618283613;0.323656723;-10957.9454;-8412.360987;19370.30639
0.363155;-9898.942509;646.3397922;9486.279411;-1.941940335;1.618283613;0.323656723;-10545.2823;-8839.939619;19385.22192
0.363220;-9779.61824;362.9446525;9620.519214;-1.941940335;1.618283613;0.323656723;-10142.56289;-9257.574562;19400.13745
0.363285;-9695.096883;74.57766833;9779.61824;-1.618283613;1.618283613;0.647313445;-9769.674551;-9705.040572;19474.71512
0.363350;-9575.772613;-243.6203832;9844.252219;-1.941940335;1.618283613;0.647313445;-9332.15223;-10087.8726;19420.02483
0.363415;-9371.926987;-457.4096991;10013.29493;-1.941940335;1.29462689;0.323656723;-8914.517288;-10470.70463;19385.22192
0.363480;-9247.630873;-775.6077506;10122.67551;-1.941940335;1.618283613;0.647313445;-8472.023122;-10898.28327;19370.30639
0.363545;-9128.306603;-989.3970665;10232.05609;-1.941940335;1.618283613;0.647313445;-8138.909537;-11221.45316;19360.3627
0.363610;-8964.235733;-1228.045605;10356.35221;-2.265597058;1.29462689;0.647313445;-7736.190128;-11584.39781;19320.58794
0.363675;-8800.164863;-1476.637833;10475.67648;-1.941940335;1.29462689;0.970970168;-7323.52703;-11952.31431;19275.84134
0.363740;-8636.093992;-1760.032973;10570.14152;-1.941940335;1.618283613;0.970970168;-6876.06102;-12330.1745;19206.23552
0.363805;-8472.023122;-2008.6252;10679.5221;-1.941940335;1.29462689;0.647313445;-6463.397922;-12688.1473;19151.54523
0.363870;-8312.924096;-2292.02034;10744.15608;-2.265597058;1.618283613;0.970970168;-6020.903756;-13036.17642;19057.08018
0.363935;-8109.07847;-2535.640723;10843.59297;-2.265597058;1.29462689;0.970970168;-5573.437746;-13379.2337;18952.67144
