Index;U;V;W
1;13846,327838820727;13830,024386573179;13836,373856872793
2;1,0341439860645045;3,2380713572471067;2,2577603022899257
3;3,7967854561489243;13,64091405299311;15,419337336580424
4;1,524511815802108;2,3228618924817943;3,7128676777574947
5;16,054110669569933;18,843285153829584;25,833199370730508
6;3,942033517042861;0,8960401353801148;4,12528134484008
7;62,62972085046676;59,96232304549504;64,12757459420425
8;0,8534621793449376;1,2157583252393036;2,01829653984753
9;1,0388947282331298;5,564421482986908;5,3782546399786435
10;1,2618007013509698;1,1259616139851205;2,369322388399974
11;6,617070681065987;6,696745409977524;6,812637561508837
12;3,0317470868414738;1,172434909408649;3,877353038241967
13;10,520871451185538;10,254440885002527;6,756368759610678
14;2,8558061598540254;0,23173309408350504;3,0525010313363747
15;2,179240391212663;8,168741901325232;6,8871454730370365
16;2,496675478276601;1,7412736934362887;1,8759489458767835
17;9,868395578213356;12,61384402857072;12,68659615521686
18;1,583040149090961;1,6740157913991842;3,093515762090884
19;9,420841873743397;6,3283699378926555;6,355655524314108
20;2,1760784086244347;3,079496557554702;1,1462972749986715
21;1,8088749036168368;1,2083195369957345;3,01188267530128
22;1,1928363972424987;1,29846742691542;0,24569363887373682
23;1,6662903358079175;2,8829935525779864;1,3104944278803532
24;2,2463086947936715;4,238690100719461;3,3030558074100895
25;1,9447468074850867;3,9327505263635976;2,279833970107382
26;0,9487865272432238;2,255161791906563;2,8617519961314613
27;2,7865001903571724;2,855282391669981;5,565640231944574
28;4,4078623798020455;3,0980409447535635;1,347882374576835
29;4,101274253186792;0,875363924359271;4,963366209819467
30;4,219255487528204;3,4381728864706242;0,9084462759707519
31;2,176787260152107;1,429782982214487;0,763743878410871
32;2,6422509822858316;2,2244764145675884;0,9670727944499209
33;3,8900037536557535;2,144799978569199;5,233054148507808
34;0,5488689898795809;1,4819517863753382;1,1413854621272799
35;3,897390567361394;2,424808335512565;1,4760151187471697
36;2,1811448327278042;2,9784391700165873;3,2453976047658974
37;2,9073333395665633;1,2826943643089517;4,1893798784139555
38;3,0936897705545916;2,846229609367646;0,3337866417268374
39;5,086214961631383;1,7019966808243712;6,14607034476002
40;1,9468404077786965;0,6777244838261373;1,8890753866195973
41;2,0369551539131647;2,229914748435668;1,2765794587407622
42;2,79838294298088;2,6437365332498253;4,320774344187626
43;3,8082670167053467;2,075040460614841;3,0610560143119496
44;0,778895166567887;2,489695033859332;2,760673630323771
45;2,5817369422005942;1,0880859605508053;1,893961745923983
46;1,096332168229563;2,7290639834174244;3,6047213132166145
47;2,656761287377508;0,42282912944058765;2,23975572785251
48;5,0247924796198635;2,2549112735898613;3,1101948589607344
49;4,271295442567472;2,1119622683776673;6,369814989463261
50;2,063138266903383;1,321455317185885;2,5651772279622373
